,(1+p1),(1-p1),(flip*flip),(x*x),(x-z),(z*x),(z*z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
33,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
34,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
35,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
36,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
37,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
38,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
39,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
40,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
41,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
42,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
43,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
44,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
45,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
46,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
47,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
48,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
49,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
50,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
51,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
52,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
53,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
54,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
55,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
56,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
57,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
58,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
59,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
60,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
61,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
62,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
63,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
64,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
65,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
66,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
67,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
68,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
69,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
70,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
71,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
72,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
73,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
74,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
75,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
76,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
77,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
78,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
79,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
80,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
81,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
82,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
83,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
84,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
85,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
86,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
87,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
88,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
89,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
90,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
91,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
92,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
93,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
94,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
95,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
96,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
97,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
98,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
99,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
100,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
101,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
102,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
103,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
104,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
105,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
106,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
107,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
108,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
109,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
110,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
111,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
112,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
113,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
114,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
115,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
116,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
117,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
118,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
119,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
120,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
121,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
122,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
123,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
124,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
125,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
126,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
127,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
128,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
129,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
130,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
131,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
132,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
133,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
134,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
135,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
136,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
137,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
138,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
139,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
140,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
141,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
142,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
143,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
144,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
145,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
146,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
147,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
148,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
149,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
150,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
151,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
152,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
153,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
154,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
155,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
156,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
157,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
158,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
159,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
160,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
161,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
162,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
163,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
164,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
165,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
166,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
167,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
168,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
169,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
170,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
171,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
172,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
173,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
174,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
175,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
176,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
177,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
178,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
179,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
0,1.56,0.44,0,361,8,209,121,30,-8,11.75,0,0.56,0.75,19,11
1,1.23,0.77,0,25,-3,40,64,13,3,11.162,0,0.23,3.162000000000001,5,8
2,1.42,0.58,0,361,19,0,0,19,-19,1.428,0,0.42,1.428,19,0
3,1.23,0.77,0,144,9,36,9,15,-9,6.35,0,0.23,3.3499999999999996,12,3
4,1.92,0.08,0,121,5,66,36,17,-5,6.076,0,0.92,0.07599999999999962,11,6
5,1.93,0.07,0,225,9,90,36,21,-9,6.072,0,0.93,0.07200000000000006,15,6
6,1.17,0.83,0,121,3,88,64,19,-3,13.312,0,0.17,5.311999999999999,11,8
7,1.33,0.67,0,64,-7,120,225,23,7,17.056,0,0.33,2.056000000000001,8,15
8,1.68,0.32,0,25,-1,30,36,11,1,6.458,0,0.68,0.4580000000000002,5,6
9,1.57,0.43,0,100,2,80,64,18,-2,8.678,0,0.57,0.6780000000000008,10,8
10,1.32,0.68,0,121,9,22,4,13,-9,4.174,0,0.32,2.1740000000000004,11,2
11,1.37,0.63,0,0,-5,0,25,5,5,6.814,0,0.37,1.814,0,5
12,1.65,0.35,0,16,-9,52,169,17,9,13.534,0,0.65,0.5340000000000007,4,13
13,1.08,0.92,0,25,-8,65,169,18,8,24.224,0,0.08,11.224,5,13
14,1.53,0.47,0,25,-12,85,289,22,12,17.894,0,0.53,0.8939999999999984,5,17
15,1.07,0.93,0,16,4,0,0,4,-4,13.15,0,0.07,13.15,4,0
16,1.79,0.21,0,100,8,20,4,12,-8,2.274,0,0.79,0.274,10,2
17,1.32,0.68,0,169,3,130,100,23,-3,12.198,0,0.32,2.1980000000000004,13,10
18,1.86,0.14,0,196,10,56,16,18,-10,4.14,0,0.86,0.13999999999999968,14,4
19,1.8,0.2,0,1,-19,20,400,21,19,20.244,0,0.8,0.24399999999999977,1,20
20,1.2,0.8,0,169,-3,208,256,29,3,20.194,0,0.2,4.193999999999999,13,16
21,1.27,0.73,0,9,3,0,0,3,-3,2.942,0,0.27,2.942,3,0
22,1.69,0.31,0,196,4,140,100,24,-4,10.416,0,0.69,0.41600000000000037,14,10
23,1.76,0.24,0,361,11,152,64,27,-11,8.24,0,0.76,0.2400000000000002,19,8
24,1.18,0.82,0,25,4,5,1,6,-4,5.318,0,0.18,4.318,5,1
25,1.6,0.4,0,49,1,42,36,13,-1,6.564,0,0.6,0.5640000000000001,7,6
26,1.46,0.54,0,1,-8,9,81,10,8,10.164,0,0.46,1.1639999999999997,1,9
27,1.9,0.1,0,225,4,165,121,26,-4,11.1,0,0.9,0.09999999999999964,15,11
28,1.16,0.84,0,324,9,162,81,27,-9,14.034,0,0.16,5.034000000000001,18,9
29,1.71,0.29,0,0,-2,0,4,2,2,2.448,0,0.71,0.44799999999999995,0,2
30,1.12,0.88,0,0,-10,0,100,10,10,17.306,0,0.12,7.306000000000001,0,10
31,1.18,0.82,0,25,4,5,1,6,-4,5.262,0,0.18,4.262,5,1
