,(1+p),(1-p),(n*n),(n*x),(n*y),(n+x),(n+y),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-y),(y*y),(y-n),(y-x),expected_post,n,p,post-init,x,y
223,1.68,0.32,256,288,160,34,26,-2,6,324,180,28,2,8,100,-6,-8,127.42,16,0.68,109.42,18,10
224,1.65,0.35,144,12,168,13,26,11,-2,1,14,15,-11,-13,196,2,13,111.88,12,0.65,110.88,1,14
225,1.77,0.23,169,234,26,31,15,-5,11,324,36,20,5,16,4,-11,-16,38.08,13,0.77,20.08,18,2
226,1.59,0.41,400,300,220,35,31,5,9,225,165,26,-5,4,121,-9,-4,142.84,20,0.59,127.84,15,11
227,1.14,0.86,16,0,32,4,12,4,-4,0,0,8,-4,-8,64,4,8,4.61,4,0.14,4.61,0,8
228,1.06,0.94,16,28,12,11,7,-3,1,49,21,10,3,4,9,-1,-4,7.76,4,0.06,0.7599999999999998,7,3
229,1.46,0.54,16,72,60,22,19,-14,-11,324,270,33,14,3,225,11,-3,45.33,4,0.46,27.33,18,15
230,1.08,0.92,25,25,15,10,8,0,2,25,15,8,0,2,9,-2,-2,6.09,5,0.08,1.0899999999999999,5,3
231,1.05,0.95,361,95,19,24,20,14,18,25,5,6,-14,4,1,-18,-4,5.98,19,0.05,0.9800000000000004,5,1
232,1.35,0.65,400,300,80,35,24,5,16,225,60,19,-5,11,16,-16,-11,42.72,20,0.35,27.72,15,4
233,1.23,0.77,196,14,14,15,15,13,13,1,1,2,-13,0,1,-13,0,4.35,14,0.23,3.3499999999999996,1,1
234,1.53,0.47,400,120,80,26,24,14,16,36,24,10,-14,2,16,-16,-2,48.58,20,0.53,42.58,6,4
235,1.6,0.4,225,180,30,27,17,3,13,144,24,14,-3,10,4,-13,-10,30.18,15,0.6,18.18,12,2
236,1.22,0.78,289,187,68,28,21,6,13,121,44,15,-6,7,16,-13,-7,25.82,17,0.22,14.82,11,4
237,1.24,0.76,16,8,24,6,10,2,-2,4,12,8,-2,-4,36,2,4,7.92,4,0.24,5.92,2,6
238,1.11,0.89,225,135,90,24,21,6,9,81,54,15,-6,3,36,-9,-3,19.06,15,0.11,10.059999999999999,9,6
239,1.49,0.51,49,35,21,12,10,2,4,25,15,8,-2,2,9,-4,-2,15.25,7,0.49,10.25,5,3
240,1.75,0.25,25,50,70,15,19,-5,-9,100,140,24,5,-4,196,9,4,62.58,5,0.75,52.58,10,14
241,1.35,0.65,9,12,6,7,5,-1,1,16,8,6,1,2,4,-1,-2,6.05,3,0.35,2.05,4,2
242,1.82,0.18,324,126,90,25,23,11,13,49,35,12,-11,2,25,-13,-2,81.07,18,0.82,74.07,7,5
243,1.79,0.21,324,288,252,34,32,2,4,256,224,30,-2,2,196,-4,-2,215.28,18,0.79,199.28,16,14
244,1.26,0.74,196,14,42,15,17,13,11,1,3,4,-13,-2,9,-11,2,12.11,14,0.26,11.11,1,3
245,1.49,0.51,4,14,36,9,20,-5,-16,49,126,25,5,-11,324,16,11,24.93,2,0.49,17.93,7,18
246,1.56,0.44,289,170,170,27,27,7,7,100,100,20,-7,0,100,-7,0,105.06,17,0.56,95.06,10,10
247,1.37,0.63,64,56,96,15,20,1,-4,49,84,19,-1,-5,144,4,5,41.78,8,0.37,34.78,7,12
248,1.56,0.44,361,209,361,30,38,8,0,121,209,30,-8,-8,361,0,8,210.08,19,0.56,199.08,11,19
249,1.34,0.66,9,39,12,16,7,-10,-1,169,52,17,10,9,16,1,-9,17.29,3,0.34,4.289999999999999,13,4
250,1.05,0.95,4,0,0,2,2,2,2,0,0,0,-2,0,0,-2,0,0.0,2,0.05,0.0,0,0
251,1.61,0.39,36,102,102,23,23,-11,-11,289,289,34,11,0,289,11,0,79.59,6,0.61,62.59,17,17
252,1.78,0.22,169,78,104,19,21,7,5,36,48,14,-7,-2,64,-5,2,86.96,13,0.78,80.96,6,8
253,1.65,0.35,121,110,11,21,12,1,10,100,10,11,-1,9,1,-10,-9,17.16,11,0.65,7.16,10,1
254,1.85,0.15,100,200,10,30,11,-10,9,400,20,21,10,19,1,-9,-19,28.54,10,0.85,8.54,20,1
255,1.41,0.59,4,8,34,6,19,-2,-15,16,68,21,2,-13,289,15,13,17.06,2,0.41,13.059999999999999,4,17
256,1.58,0.42,256,288,176,34,27,-2,5,324,198,29,2,7,121,-5,-7,119.82,16,0.58,101.82,18,11
257,1.49,0.51,25,85,30,22,11,-12,-1,289,102,23,12,11,36,1,-11,31.8,5,0.49,14.8,17,6
258,1.81,0.19,49,91,105,20,22,-6,-8,169,195,28,6,-2,225,8,2,99.04,7,0.81,86.04,13,15
259,1.37,0.63,9,0,18,3,9,3,-3,0,0,6,-3,-6,36,3,6,7.04,3,0.37,7.04,0,6
260,1.25,0.75,25,80,100,21,25,-11,-15,256,320,36,11,-4,400,15,4,42.6,5,0.25,26.6,16,20
261,1.85,0.15,64,120,24,23,11,-7,5,225,45,18,7,12,9,-5,-12,35.63,8,0.85,20.630000000000003,15,3
262,1.1,0.9,9,57,24,22,11,-16,-5,361,152,27,16,11,64,5,-11,21.53,3,0.1,2.530000000000001,19,8
263,1.6,0.4,400,20,20,21,21,19,19,1,1,2,-19,0,1,-19,0,12.99,20,0.6,11.99,1,1
264,1.14,0.86,361,361,171,38,28,0,10,361,171,28,0,10,81,-10,-10,41.73,19,0.14,22.729999999999997,19,9
265,1.63,0.37,225,165,210,26,29,4,1,121,154,25,-4,-3,196,-1,3,142.01,15,0.63,131.01,11,14
266,1.79,0.21,16,24,32,10,12,-2,-4,36,48,14,2,-2,64,4,2,31.49,4,0.79,25.49,6,8
267,1.83,0.17,121,99,143,20,24,2,-2,81,117,22,-2,-4,169,2,4,128.99,11,0.83,119.99000000000001,9,13
268,1.24,0.76,144,36,24,15,14,9,10,9,6,5,-9,1,4,-10,-1,8.82,12,0.24,5.82,3,2
269,1.57,0.43,324,252,108,32,24,4,12,196,84,20,-4,8,36,-12,-8,75.19,18,0.57,61.19,14,6
270,1.23,0.77,324,0,180,18,28,18,8,0,0,10,-18,-10,100,-8,10,42.82,18,0.23,42.82,0,10
271,1.88,0.12,81,153,0,26,9,-8,9,289,0,17,8,17,0,-9,-17,17.0,9,0.88,0.0,17,0
272,1.52,0.48,16,16,0,8,4,0,4,16,0,4,0,4,0,-4,-4,4.0,4,0.52,0.0,4,0
273,1.56,0.44,9,24,48,11,19,-5,-13,64,128,24,5,-8,256,13,8,35.3,3,0.56,27.299999999999997,8,16
274,1.69,0.31,144,0,120,12,22,12,2,0,0,10,-12,-10,100,-2,10,82.32,12,0.69,82.32,0,10
275,1.83,0.17,169,65,195,18,28,8,-2,25,75,20,-8,-10,225,2,10,167.36,13,0.83,162.36,5,15
276,1.38,0.62,100,0,100,10,20,10,0,0,0,10,-10,-10,100,0,10,38.84,10,0.38,38.84,0,10
277,1.64,0.36,256,160,320,26,36,6,-4,100,200,30,-6,-10,400,4,10,216.48,16,0.64,206.48,10,20
278,1.33,0.67,4,14,18,9,11,-5,-7,49,63,16,5,-2,81,7,2,12.87,2,0.33,5.869999999999999,7,9
279,1.32,0.68,144,120,216,22,30,2,-6,100,180,28,-2,-8,324,6,8,80.02,12,0.32,70.02,10,18
280,1.23,0.77,4,6,34,5,19,-1,-15,9,51,20,1,-14,289,15,14,10.51,2,0.23,7.51,3,17
281,1.88,0.12,196,182,196,27,28,1,0,169,182,27,-1,-1,196,0,1,186.94,14,0.88,173.94,13,14
282,1.12,0.88,16,48,76,16,23,-8,-15,144,228,31,8,-7,361,15,7,20.47,4,0.12,8.469999999999999,12,19
283,1.72,0.28,1,3,4,4,5,-2,-3,9,12,7,2,-1,16,3,1,5.9,1,0.72,2.9000000000000004,3,4
284,1.51,0.49,400,140,260,27,33,13,7,49,91,20,-13,-6,169,-7,6,139.73,20,0.51,132.73,7,13
285,1.17,0.83,25,70,90,19,23,-9,-13,196,252,32,9,-4,324,13,4,29.44,5,0.17,15.440000000000001,14,18
286,1.05,0.95,400,200,280,30,34,10,6,100,140,24,-10,-4,196,-6,4,23.36,20,0.05,13.36,10,14
287,1.57,0.43,100,200,60,30,16,-10,4,400,120,26,10,14,36,-4,-14,53.73,10,0.57,33.73,20,6
288,1.77,0.23,400,20,240,21,32,19,8,1,12,13,-19,-11,144,-8,11,185.13,20,0.77,184.13,1,12
289,1.49,0.51,64,120,144,23,26,-7,-10,225,270,33,7,-3,324,10,3,86.06,8,0.49,71.06,15,18
290,1.45,0.55,256,192,256,28,32,4,0,144,192,28,-4,-4,256,0,4,127.97,16,0.45,115.97,12,16
291,1.53,0.47,361,342,380,37,39,1,-1,324,360,38,-1,-2,400,1,2,221.08,19,0.53,203.08,18,20
292,1.35,0.65,100,100,150,20,25,0,-5,100,150,25,0,-5,225,5,5,63.61,10,0.35,53.61,10,15
293,1.33,0.67,121,220,176,31,27,-9,-5,400,320,36,9,4,256,5,-4,79.58,11,0.33,59.58,20,16
294,1.18,0.82,144,36,96,15,20,9,4,9,24,11,-9,-5,64,-4,5,20.36,12,0.18,17.36,3,8
295,1.37,0.63,121,176,198,27,29,-5,-7,256,288,34,5,-2,324,7,2,89.62,11,0.37,73.62,16,18
296,1.68,0.32,16,52,4,17,5,-9,3,169,13,14,9,12,1,-3,-12,15.73,4,0.68,2.7300000000000004,13,1
297,1.47,0.53,256,48,288,19,34,13,-2,9,54,21,-13,-15,324,2,15,137.57,16,0.47,134.57,3,18
298,1.14,0.86,25,80,65,21,18,-11,-8,256,208,29,11,3,169,8,-3,25.78,5,0.14,9.780000000000001,16,13
299,1.33,0.67,144,228,216,31,30,-7,-6,361,342,37,7,1,324,6,-1,91.4,12,0.33,72.4,19,18
300,1.83,0.17,225,300,285,35,34,-5,-4,400,380,39,5,1,361,4,-1,257.27,15,0.83,237.26999999999998,20,19
301,1.41,0.59,25,55,55,16,16,-6,-6,121,121,22,6,0,121,6,0,34.23,5,0.41,23.229999999999997,11,11
302,1.78,0.22,225,240,255,31,32,-1,-2,256,272,33,1,-1,289,2,1,214.12,15,0.78,198.12,16,17
303,1.05,0.95,25,15,35,8,12,2,-2,9,21,10,-2,-4,49,2,4,4.67,5,0.05,1.67,3,7
304,1.32,0.68,144,120,168,22,26,2,-2,100,140,24,-2,-4,196,2,4,64.1,12,0.32,54.099999999999994,10,14
305,1.88,0.12,16,4,0,5,4,3,4,1,0,1,-3,1,0,-4,-1,1.0,4,0.88,0.0,1,0
306,1.64,0.36,169,156,234,25,31,1,-5,144,216,30,-1,-6,324,5,6,161.9,13,0.64,149.9,12,18
307,1.72,0.28,121,88,44,19,15,3,7,64,32,12,-3,4,16,-7,-4,39.72,11,0.72,31.72,8,4
308,1.19,0.81,361,171,0,28,19,10,19,81,0,9,-10,9,0,-19,-9,9.0,19,0.19,0.0,9,0
309,1.5,0.5,49,56,28,15,11,-1,3,64,32,12,1,4,16,-3,-4,22.05,7,0.5,14.05,8,4
310,1.74,0.26,16,68,20,21,9,-13,-1,289,85,22,13,12,25,1,-12,31.69,4,0.74,14.690000000000001,17,5
311,1.41,0.59,324,342,72,37,22,-1,14,361,76,23,1,15,16,-14,-15,49.02,18,0.41,30.020000000000003,19,4
312,1.34,0.66,81,45,45,14,14,4,4,25,25,10,-4,0,25,-4,0,19.97,9,0.34,14.969999999999999,5,5
313,1.13,0.87,9,15,36,8,15,-2,-9,25,60,17,2,-7,144,9,7,9.66,3,0.13,4.66,5,12
314,1.74,0.26,324,288,234,34,31,2,5,256,208,29,-2,3,169,-5,-3,188.61,18,0.74,172.61,16,13
315,1.24,0.76,64,32,160,12,28,4,-12,16,80,24,-4,-16,400,12,16,41.64,8,0.24,37.64,4,20
316,1.9,0.1,4,4,34,4,19,0,-15,4,34,19,0,-15,289,15,15,32.97,2,0.9,30.97,2,17
317,1.09,0.91,81,108,27,21,12,-3,6,144,36,15,3,9,9,-6,-9,14.53,9,0.09,2.5299999999999994,12,3
318,1.19,0.81,121,55,198,16,29,6,-7,25,90,23,-6,-13,324,7,13,42.15,11,0.19,37.15,5,18
319,1.78,0.22,361,266,190,33,29,5,9,196,140,24,-5,4,100,-9,-4,162.36,19,0.78,148.36,14,10
320,1.48,0.52,225,30,270,17,33,13,-3,4,36,20,-13,-16,324,3,16,130.92,15,0.48,128.92,2,18
321,1.08,0.92,256,256,96,32,22,0,10,256,96,22,0,10,36,-10,-10,23.04,16,0.08,7.039999999999999,16,6
322,1.11,0.89,361,380,285,39,34,-1,4,400,300,35,1,5,225,-4,-5,52.28,19,0.11,32.28,20,15
323,1.9,0.1,324,144,18,26,19,10,17,64,8,9,-10,7,1,-17,-7,24.11,18,0.9,16.11,8,1
324,1.25,0.75,361,323,38,36,21,2,17,289,34,19,-2,15,4,-17,-15,26.43,19,0.25,9.43,17,2
325,1.3,0.7,9,54,48,21,19,-15,-13,324,288,34,15,2,256,13,-2,32.69,3,0.3,14.689999999999998,18,16
326,1.84,0.16,100,170,130,27,23,-7,-3,289,221,30,7,4,169,3,-4,127.03,10,0.84,110.03,17,13
327,1.68,0.32,36,114,6,25,7,-13,5,361,19,20,13,18,1,-5,-18,22.94,6,0.68,3.9400000000000013,19,1
328,1.81,0.19,324,180,360,28,38,8,-2,100,200,30,-8,-10,400,2,10,300.84,18,0.81,290.84,10,20
329,1.79,0.21,121,33,55,14,16,8,6,9,15,8,-8,-2,25,-6,2,46.28,11,0.79,43.28,3,5
330,1.83,0.17,169,91,130,20,23,6,3,49,70,17,-6,-3,100,-3,3,114.64,13,0.83,107.64,7,10
331,1.56,0.44,9,0,48,3,19,3,-13,0,0,16,-3,-16,256,13,16,25.79,3,0.56,25.79,0,16
332,1.44,0.56,16,56,44,18,15,-10,-7,196,154,25,10,3,121,7,-3,32.74,4,0.44,18.740000000000002,14,11
333,1.65,0.35,25,95,70,24,19,-14,-9,361,266,33,14,5,196,9,-5,63.94,5,0.65,44.94,19,14
334,1.29,0.71,121,22,110,13,21,9,1,4,20,12,-9,-8,100,-1,8,32.98,11,0.29,30.979999999999997,2,10
335,1.52,0.48,196,126,56,23,18,5,10,81,36,13,-5,5,16,-10,-5,38.05,14,0.52,29.049999999999997,9,4
336,1.15,0.85,9,21,27,10,12,-4,-6,49,63,16,4,-2,81,6,2,11.14,3,0.15,4.140000000000001,7,9
337,1.86,0.14,121,33,66,14,17,8,5,9,18,9,-8,-3,36,-5,3,60.13,11,0.86,57.13,3,6
338,1.05,0.95,4,18,14,11,9,-7,-5,81,63,16,7,2,49,5,-2,9.7,2,0.05,0.6999999999999993,9,7
339,1.87,0.13,25,80,75,21,20,-11,-10,256,240,31,11,1,225,10,-1,81.7,5,0.87,65.7,16,15
340,1.68,0.32,256,176,256,27,32,5,0,121,176,27,-5,-5,256,0,5,183.42,16,0.68,172.42,11,16
341,1.4,0.6,36,48,60,14,16,-2,-4,64,80,18,2,-2,100,4,2,30.98,6,0.4,22.98,8,10
342,1.41,0.59,225,45,210,18,29,12,1,9,42,17,-12,-11,196,-1,11,87.5,15,0.41,84.5,3,14
343,1.44,0.56,16,32,48,12,16,-4,-8,64,96,20,4,-4,144,8,4,29.77,4,0.44,21.77,8,12
344,1.61,0.39,225,75,225,20,30,10,0,25,75,20,-10,-10,225,0,10,142.25,15,0.61,137.25,5,15
345,1.22,0.78,9,33,18,14,9,-8,-3,121,66,17,8,5,36,3,-5,15.37,3,0.22,4.369999999999999,11,6
346,1.07,0.93,289,0,170,17,27,17,7,0,0,10,-17,-10,100,-7,10,11.62,17,0.07,11.62,0,10
347,1.69,0.31,25,15,65,8,18,2,-8,9,39,16,-2,-10,169,8,10,47.64,5,0.69,44.64,3,13
348,1.4,0.6,324,252,288,32,34,4,2,196,224,30,-4,-2,256,-2,2,130.96,18,0.4,116.96000000000001,14,16
349,1.37,0.63,25,25,45,10,14,0,-4,25,45,14,0,-4,81,4,4,21.43,5,0.37,16.43,5,9
350,1.74,0.26,169,208,182,29,27,-3,-1,256,224,30,3,2,196,1,-2,149.98,13,0.74,133.98,16,14
351,1.21,0.79,169,117,143,22,24,4,2,81,99,20,-4,-2,121,-2,2,38.92,13,0.21,29.92,9,11
352,1.26,0.74,169,260,91,33,20,-7,6,400,140,27,7,13,49,-6,-13,43.91,13,0.26,23.909999999999997,20,7
353,1.23,0.77,289,221,289,30,34,4,0,169,221,30,-4,-4,289,0,4,80.69,17,0.23,67.69,13,17
354,1.72,0.28,324,162,270,27,33,9,3,81,135,24,-9,-6,225,-3,6,202.44,18,0.72,193.44,9,15
355,1.05,0.95,169,52,78,17,19,9,7,16,24,10,-9,-2,36,-7,2,7.88,13,0.05,3.88,4,6
356,1.65,0.35,121,220,154,31,25,-9,-3,400,280,34,9,6,196,3,-6,119.82,11,0.65,99.82,20,14
357,1.79,0.21,256,208,176,29,27,3,5,169,143,24,-3,2,121,-5,-2,153.69,16,0.79,140.69,13,11
358,1.29,0.71,4,6,20,5,12,-1,-8,9,30,13,1,-7,100,8,7,9.12,2,0.29,6.119999999999999,3,10
359,1.54,0.46,100,170,20,27,12,-7,8,289,34,19,7,15,4,-8,-15,27.82,10,0.54,10.82,17,2
360,1.83,0.17,16,52,16,17,8,-9,0,169,52,17,9,9,16,0,-9,26.13,4,0.83,13.129999999999999,13,4
361,1.29,0.71,225,210,165,29,26,1,4,196,154,25,-1,3,121,-4,-3,61.17,15,0.29,47.17,14,11
362,1.2,0.8,100,90,90,19,19,1,1,81,81,18,-1,0,81,-1,0,27.34,10,0.2,18.34,9,9
363,1.85,0.15,361,0,38,19,21,19,17,0,0,2,-19,-2,4,-17,2,32.34,19,0.85,32.34,0,2
364,1.26,0.74,16,24,4,10,5,-2,3,36,6,7,2,5,1,-3,-5,7.07,4,0.26,1.0700000000000003,6,1
365,1.89,0.11,49,56,126,15,25,-1,-11,64,144,26,1,-10,324,11,10,120.25,7,0.89,112.25,8,18
366,1.72,0.28,289,221,204,30,29,4,5,169,156,25,-4,1,144,-5,-1,160.72,17,0.72,147.72,13,12
367,1.52,0.48,64,32,96,12,20,4,-4,16,48,16,-4,-8,144,4,8,53.66,8,0.52,49.66,4,12
368,1.48,0.52,289,204,204,29,29,5,5,144,144,24,-5,0,144,-5,0,109.34,17,0.48,97.34,12,12
369,1.19,0.81,49,112,112,23,23,-9,-9,256,256,32,9,0,256,9,0,37.66,7,0.19,21.659999999999997,16,16
370,1.21,0.79,324,288,216,34,30,2,6,256,192,28,-2,4,144,-6,-4,63.14,18,0.21,47.14,16,12
371,1.27,0.73,36,24,66,10,17,2,-5,16,44,15,-2,-7,121,5,7,22.5,6,0.27,18.5,4,11
372,1.63,0.37,49,49,105,14,22,0,-8,49,105,22,0,-8,225,8,8,74.98,7,0.63,67.98,7,15
373,1.34,0.66,16,60,8,19,6,-11,2,225,30,17,11,13,4,-2,-13,17.74,4,0.34,2.7399999999999984,15,2
374,1.17,0.83,64,120,48,23,14,-7,2,225,90,21,7,9,36,-2,-9,23.1,8,0.17,8.100000000000001,15,6
375,1.09,0.91,100,70,20,17,12,3,8,49,14,9,-3,5,4,-8,-5,8.84,10,0.09,1.8399999999999999,7,2
376,1.9,0.1,49,84,112,19,23,-5,-9,144,192,28,5,-4,256,9,4,112.0,7,0.9,100.0,12,16
377,1.21,0.79,1,12,13,13,14,-11,-12,144,156,25,11,-1,169,12,1,14.83,1,0.21,2.83,12,13
378,1.09,0.91,400,260,0,33,20,7,20,169,0,13,-7,13,0,-20,-13,13.0,20,0.09,0.0,13,0
379,1.11,0.89,196,252,0,32,14,-4,14,324,0,18,4,18,0,-14,-18,18.0,14,0.11,0.0,18,0
380,1.68,0.32,289,85,204,22,29,12,5,25,60,17,-12,-7,144,-5,7,141.51,17,0.68,136.51,5,12
381,1.75,0.25,1,6,10,7,11,-5,-9,36,60,16,5,-4,100,9,4,13.38,1,0.75,7.380000000000001,6,10
382,1.87,0.13,16,40,72,14,22,-6,-14,100,180,28,6,-8,324,14,8,71.96,4,0.87,61.959999999999994,10,18
383,1.7,0.3,4,16,20,10,12,-6,-8,64,80,18,6,-2,100,8,2,21.98,2,0.7,13.98,8,10
384,1.27,0.73,64,152,144,27,26,-11,-10,361,342,37,11,1,324,10,-1,58.49,8,0.27,39.49,19,18
385,1.26,0.74,4,0,22,2,13,2,-9,0,0,11,-2,-11,121,9,11,5.7,2,0.26,5.7,0,11
386,1.41,0.59,169,91,247,20,32,6,-6,49,133,26,-6,-12,361,6,12,110.63,13,0.41,103.63,7,19
387,1.06,0.94,4,40,14,22,9,-18,-5,400,140,27,18,13,49,5,-13,20.7,2,0.06,0.6999999999999993,20,7
388,1.56,0.44,324,108,360,24,38,12,-2,36,120,26,-12,-14,400,2,14,209.76,18,0.56,203.76,6,20
389,1.38,0.62,196,112,56,22,18,6,10,64,32,12,-6,4,16,-10,-4,29.57,14,0.38,21.57,8,4
390,1.59,0.41,9,3,57,4,22,2,-16,1,19,20,-2,-18,361,16,18,34.9,3,0.59,33.9,1,19
391,1.18,0.82,36,60,108,16,24,-4,-12,100,180,28,4,-8,324,12,8,29.08,6,0.18,19.08,10,18
392,1.86,0.14,361,361,152,38,27,0,11,361,152,27,0,11,64,-11,-11,150.73,19,0.86,131.73,19,8
393,1.34,0.66,400,180,400,29,40,11,0,81,180,29,-11,-11,400,0,11,144.36,20,0.34,135.36,9,20
394,1.46,0.54,144,84,216,19,30,5,-6,49,126,25,-5,-11,324,6,11,107.08,12,0.46,100.08,7,18
395,1.54,0.46,196,98,266,21,33,7,-5,49,133,26,-7,-12,361,5,12,150.15,14,0.54,143.15,7,19
396,1.57,0.43,64,40,152,13,27,3,-11,25,95,24,-3,-14,361,11,14,91.07,8,0.57,86.07,5,19
397,1.42,0.58,16,60,52,19,17,-11,-9,225,195,28,11,2,169,9,-2,36.61,4,0.42,21.61,15,13
398,1.56,0.44,100,40,200,14,30,6,-10,16,80,24,-6,-16,400,10,16,115.12,10,0.56,111.12,4,20
399,1.23,0.77,16,60,0,19,4,-11,4,225,0,15,11,15,0,-4,-15,15.0,4,0.23,0.0,15,0
400,1.34,0.66,196,182,252,27,32,1,-4,169,234,31,-1,-5,324,4,5,100.05,14,0.34,87.05,13,18
401,1.45,0.55,16,36,76,13,23,-5,-15,81,171,28,5,-10,361,15,10,43.96,4,0.45,34.96,9,19
402,1.34,0.66,289,204,238,29,31,5,3,144,168,26,-5,-2,196,-3,2,92.84,17,0.34,80.84,12,14
403,1.72,0.28,400,180,20,29,21,11,19,81,9,10,-11,8,1,-19,-8,23.51,20,0.72,14.510000000000002,9,1
404,1.28,0.72,81,27,72,12,17,6,1,9,24,11,-6,-5,64,-1,5,23.61,9,0.28,20.61,3,8
405,1.34,0.66,1,12,7,13,8,-11,-6,144,84,19,11,5,49,6,-5,14.28,1,0.34,2.2799999999999994,12,7
406,1.52,0.48,49,91,112,20,23,-6,-9,169,208,29,6,-3,256,9,3,72.17,7,0.52,59.17,13,16
407,1.2,0.8,121,209,143,30,24,-8,-2,361,247,32,8,6,169,2,-6,47.55,11,0.2,28.549999999999997,19,13
408,1.27,0.73,169,65,195,18,28,8,-2,25,75,20,-8,-10,225,2,10,56.78,13,0.27,51.78,5,15
409,1.81,0.19,16,4,64,5,20,3,-12,1,16,17,-3,-15,256,12,15,53.0,4,0.81,52.0,1,16
410,1.57,0.43,225,180,225,27,30,3,0,144,180,27,-3,-3,225,0,3,141.42,15,0.57,129.42,12,15
411,1.16,0.84,81,171,18,28,11,-10,7,361,38,21,10,17,4,-7,-17,21.64,9,0.16,2.6400000000000006,19,2
412,1.5,0.5,144,156,204,25,29,-1,-5,169,221,30,1,-4,289,5,4,116.22,12,0.5,103.22,13,17
413,1.15,0.85,144,228,24,31,14,-7,10,361,38,21,7,17,4,-10,-17,22.55,12,0.15,3.5500000000000007,19,2
414,1.89,0.11,324,252,144,32,26,4,10,196,112,22,-4,6,64,-10,-6,142.0,18,0.89,128.0,14,8
415,1.73,0.27,289,255,34,32,19,2,15,225,30,17,-2,13,4,-15,-13,39.94,17,0.73,24.939999999999998,15,2
416,1.15,0.85,1,5,7,6,8,-4,-6,25,35,12,4,-2,49,6,2,5.88,1,0.15,0.8799999999999999,5,7
417,1.75,0.25,361,247,114,32,25,6,13,169,78,19,-6,7,36,-13,-7,98.19,19,0.75,85.19,13,6
418,1.14,0.86,144,84,192,19,28,5,-4,49,112,23,-5,-9,256,4,9,32.18,12,0.14,25.18,7,16
419,1.56,0.44,256,240,272,31,33,1,-1,225,255,32,-1,-2,289,1,2,166.54,16,0.56,151.54,15,17
420,1.92,0.08,400,40,80,22,24,18,16,4,8,6,-18,-2,16,-16,2,75.63,20,0.92,73.63,2,4
421,1.82,0.18,1,7,9,8,10,-6,-8,49,63,16,6,-2,81,8,2,14.54,1,0.82,7.539999999999999,7,9
422,1.28,0.72,81,180,72,29,17,-11,1,400,160,28,11,12,64,-1,-12,41.01,9,0.28,21.009999999999998,20,8
423,1.88,0.12,121,176,165,27,26,-5,-4,256,240,31,5,1,225,4,-1,161.17,11,0.88,145.17,16,15
424,1.81,0.19,289,272,221,33,30,1,4,256,208,29,-1,3,169,-4,-3,196.13,17,0.81,180.13,16,13
425,1.66,0.34,324,198,90,29,23,7,13,121,55,16,-7,6,25,-13,-6,70.44,18,0.66,59.44,11,5
426,1.26,0.74,361,19,228,20,31,18,7,1,12,13,-18,-11,144,-7,11,60.02,19,0.26,59.02,1,12
427,1.11,0.89,64,16,136,10,25,6,-9,4,34,19,-6,-15,289,9,15,15.46,8,0.11,13.46,2,17
428,1.94,0.06,361,19,190,20,29,18,9,1,10,11,-18,-9,100,-9,9,178.6,19,0.94,177.6,1,10
429,1.38,0.62,9,6,57,5,22,1,-16,4,38,21,-1,-17,361,16,17,23.7,3,0.38,21.7,2,19
430,1.81,0.19,289,187,187,28,28,6,6,121,121,22,-6,0,121,-6,0,161.68,17,0.81,150.68,11,11
431,1.87,0.13,256,304,208,35,29,-3,3,361,247,32,3,6,169,-3,-6,199.86,16,0.87,180.86,19,13
432,1.72,0.28,49,0,63,7,16,7,-2,0,0,9,-7,-9,81,2,9,46.37,7,0.72,46.37,0,9
433,1.08,0.92,36,72,54,18,15,-6,-3,144,108,21,6,3,81,3,-3,16.43,6,0.08,4.43,12,9
434,1.9,0.1,4,12,12,8,8,-4,-4,36,36,12,4,0,36,4,0,16.69,2,0.9,10.690000000000001,6,6
435,1.72,0.28,49,56,63,15,16,-1,-2,64,72,17,1,-1,81,2,1,53.63,7,0.72,45.63,8,9
436,1.35,0.65,4,4,6,4,5,0,-1,4,6,5,0,-1,9,1,1,4.04,2,0.35,2.04,2,3
437,1.94,0.06,121,0,44,11,15,11,7,0,0,4,-11,-4,16,-7,4,41.37,11,0.94,41.37,0,4
438,1.4,0.6,64,48,16,14,10,2,6,36,12,8,-2,4,4,-6,-4,12.36,8,0.4,6.359999999999999,6,2
439,1.62,0.38,25,85,70,22,19,-12,-9,289,238,31,12,3,196,9,-3,58.58,5,0.62,41.58,17,14
440,1.53,0.47,225,210,60,29,19,1,11,196,56,18,-1,10,16,-11,-10,46.1,15,0.53,32.1,14,4
441,1.44,0.56,225,210,255,29,32,1,-2,196,238,31,-1,-3,289,2,3,126.68,15,0.44,112.68,14,17
442,1.79,0.21,1,11,0,12,1,-10,1,121,0,11,10,11,0,-1,-11,11.0,1,0.79,0.0,11,0
443,1.55,0.45,81,0,180,9,29,9,-11,0,0,20,-9,-20,400,11,20,99.68,9,0.55,99.68,0,20
444,1.63,0.37,144,12,204,13,29,11,-5,1,17,18,-11,-16,289,5,16,129.04,12,0.63,128.04,1,17
445,1.2,0.8,169,39,260,16,33,10,-7,9,60,23,-10,-17,400,7,17,55.76,13,0.2,52.76,3,20
446,1.82,0.18,1,14,12,15,13,-13,-11,196,168,26,13,2,144,11,-2,23.72,1,0.82,9.719999999999999,14,12
